1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1
1,9,,,,,,,13,13,,,,,,,,,,,,,,,,,,,,1
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,9,2,,,,,,,,,3,3,3,,,,,,,,,3,3,,,,,,1
1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1
1,1,,,3,3,3,,,,,3,3,3,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,1,1,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,,,,,,,,3,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,1,1,1,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,3,3,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
