1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1
1,,,,,,,14,14,14,,,,,,,,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,9,,,,,,13,13,13,,3,3,3,,,,3,,,,,3,3,,,,,,1
1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1
1,1,,,3,3,3,,,,,3,3,3,,,1,1,1,6,6,1,1,1,1,1,1,1,1,1
1,1,,,1,1,1,,,,,1,1,1,,,1,1,1,10,10,1,1,1,1,1,1,1,1,1
1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,,,,2,,,,,,3,,,,,1,1,1,1,1,1,1,30,1,1,1,1,1,1
1,1,,,1,1,1,,,,,1,1,1,,,1,1,1,1,1,1,32,1,33,1,1,1,1,1
1,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,31,1,1,1,1,1,1
1,1,3,3,,,,30,,,,,,,,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
