1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,,,102,,102,,,,14,14,14,14,14,14,14,14,14,14,14,15,15,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
<<<<<<< HEAD
1,2,,101,,101,,101,,,13,13,13,13,13,13,13,13,13,,,13,13,,,,,,7,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,31,8,31,1,,,,,,,,,,,,,,,,,,,,,,21,,,1
=======
1,,,101,,101,,101,,,13,13,13,13,13,13,13,13,13,,13,13,13,,,,,,7,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,8,,1,,,,,,,,,,,,,,,,,,,,,,21,,,1
>>>>>>> buckup_main
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,9,1
1,,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,,,1,,,,,,,,102,,,,102,,,,102,,,,,,,,,1
1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,1,,,,,,101,,,,101,,,,101,,,,101,,2,,,,,1
1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
<<<<<<< HEAD
1,3,3,,,,,,,,16,16,,40,,41,,,,,,,20,,,,,,,1
<<<<<<< HEAD
=======
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
>>>>>>> buckup_main
=======
1,3,3,,40,,,41,,,16,16,,,,,,,,,,,20,,,,,,,1
>>>>>>> MyBranch4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
